ano;beta_u_eua;dv_brasil;ev_brasil;T_brasil;beta_l_brasil;beta_l_recalc_hamada;usada_na_media_5a
2013;0,420478;0,464915;0,535085;0,340000;0,661600;0,661600;False
2014;0,389154;0,454868;0,545132;0,340000;0,603467;0,603467;False
2015;0,324633;0,432722;0,567278;0,340000;0,488070;0,488070;False
2016;0,307883;0,422314;0,577686;0,340000;0,456433;0,456433;False
2017;0,310960;0,417549;0,582451;0,340000;0,458089;0,458089;False
2018;0,257080;0,396142;0,603858;0,340000;0,368389;0,368389;False
2019;0,248563;0,380330;0,619670;0,340000;0,349252;0,349252;False
2020;0,590145;0,452734;0,547266;0,340000;0,912362;0,912362;False
2021;0,591641;0,453643;0,546357;0,340000;0,915861;0,915861;True
2022;0,547900;0,448876;0,551124;0,340000;0,842426;0,842426;True
2023;0,550434;0,451309;0,548691;0,340000;0,849244;0,849244;True
2024;0,531660;0,449174;0,550826;0,340000;0,817800;0,817800;True
2025;0,293106;0,397739;0,602261;0,340000;0,420863;0,420863;True
