ano;beta_u_eua;dv_brasil;ev_brasil;T_brasil;beta_l_brasil
2013;0.4204775681121883;0.46491476312884;0.53508523687116;0.34;0.6615997337715251
2014;0.38915386838377125;0.45486824722081;0.54513175277919;0.34;0.6034673191992703
2015;0.3246331908639732;0.43272182137559;0.56727817862441;0.34;0.48806988701959897
2016;0.3078825899710582;0.42231409321146;0.57768590678854;0.34;0.4564326627338678
2017;0.31095993118010634;0.41754943113328;0.58245056886672;0.34;0.4580885607058808
2018;0.25708034889915526;0.39614219047053;0.60385780952947;0.34;0.3683890788941654
2019;0.24856340457360657;0.38032987539095;0.61967012460905;0.34;0.3492521679274896
2020;0.5901452385532326;0.452734375124793;0.547265624875207;0.34;0.9123620115769876
2021;0.5916411588584704;0.453643;0.546357;0.34;0.915861319578479
2022;0.5479003996020585;0.4488764871764862;0.5511235128235138;0.34;0.8424262847121659
2023;0.5504335246236243;0.4513091597500924;0.5486908402499076;0.34;0.8492436092111437
2024;0.5316597779752077;0.449174152698505;0.550825847301495;0.34;0.8177995238993259
2025;0.2931061921272463;0.397739407333865;0.6022605926661351;0.34;0.4208627211298905
